"customer_id","gender","senior_citizen","partner","dependents","tenure","phone_service","multiple_lines","internet_service","online_security","online_backup","device_protection","tech_support","streaming_tv","streaming_movies","contract","paperless_billing","payment_method","monthly_charges","total_charges","churn","has_streaming"
"7590-VHVEG","Female",FALSE,"Yes       ","No        ",1,"No","No phone service","DSL","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",29.8500003814697,29.8500003814697,"No","No"
"5575-GNVDE","Male",FALSE,"No        ","No        ",34,"Yes","No","DSL","Yes","No","Yes","No","No","No","One year","No","Mailed check",56.9500007629395,1889.5,"No","No"
"3668-QPYBK","Male",FALSE,"No        ","No        ",2,"Yes","No","DSL","Yes","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",53.8499984741211,108.150001525879,"Yes","No"
"7795-CFOCW","Male",FALSE,"No        ","No        ",45,"No","No phone service","DSL","Yes","No","Yes","Yes","No","No","One year","No","Bank transfer (automatic)",42.2999992370605,1840.75,"No","No"
"9237-HQITU","Female",FALSE,"No        ","No        ",2,"Yes","No","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",70.6999969482422,151.649993896484,"Yes","No"
"9305-CDSKC","Female",FALSE,"No        ","No        ",8,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",99.6500015258789,820.5,"Yes","Yes"
"1452-KIOVK","Male",FALSE,"No        ","Yes       ",22,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","No","Month-to-month","Yes","Credit card (automatic)",89.0999984741211,1949.40002441406,"No","Yes"
"6713-OKOMC","Female",FALSE,"No        ","No        ",10,"No","No phone service","DSL","Yes","No","No","No","No","No","Month-to-month","No","Mailed check",29.75,301.899993896484,"No","No"
"7892-POOKP","Female",FALSE,"Yes       ","No        ",28,"Yes","Yes","Fiber optic","No","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",104.800003051758,3046.05004882812,"Yes","Yes"
"6388-TABGU","Male",FALSE,"No        ","Yes       ",62,"Yes","No","DSL","Yes","Yes","No","No","No","No","One year","No","Bank transfer (automatic)",56.1500015258789,3487.94995117188,"No","No"
"9763-GRSKD","Male",FALSE,"Yes       ","Yes       ",13,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",49.9500007629395,587.450012207031,"No","No"
"7469-LKBCI","Male",FALSE,"No        ","No        ",16,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",18.9500007629395,326.799987792969,"No","No"
"8091-TTVAX","Male",FALSE,"Yes       ","No        ",58,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","One year","No","Credit card (automatic)",100.349998474121,5681.10009765625,"No","Yes"
"0280-XJGEX","Male",FALSE,"No        ","No        ",49,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",103.699996948242,5036.2998046875,"Yes","Yes"
"5129-JLPIS","Male",FALSE,"No        ","No        ",25,"Yes","No","Fiber optic","Yes","No","Yes","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",105.5,2686.05004882812,"No","Yes"
"3655-SNQYZ","Female",FALSE,"Yes       ","Yes       ",69,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","No","Credit card (automatic)",113.25,7895.14990234375,"No","Yes"
